RPM,Delta_ms
911500,2.4730
912000,2.8130
912500,1.1230
913000,1.8210
913500,1.7070
914000,2.5010
914500,1.4750
915000,1.5350
915500,1.5250
916000,0.5790
917000,1.3510
917500,1.5390
918000,2.5400
918500,2.3260
919000,1.6160
919500,1.2420
920000,1.4110
920500,0.5960
921000,1.3990
921500,1.6330
922000,1.5040
922500,2.3440
923000,1.4760
923500,1.2650
924000,1.4790
924500,0.4410
925000,1.2050
925500,2.3660
926000,0.7010
926500,2.2740
927000,0.5250
927500,1.3080
928000,0.6680
928500,1.2460
929000,0.4870
929500,1.4880
930000,2.5120
930500,1.4830
931000,0.3940
931500,2.4660
932000,1.4930
932500,2.6650
933000,0.4030
933500,1.2500
934000,2.7910
934500,0.4700
935000,1.3540
935500,2.5330
936000,2.4960
936500,1.3260
937000,1.3620
937500,1.2090
938000,1.4800
938500,2.4120
939000,1.5520
939500,2.6800
940000,1.4020
940500,1.4760
941000,1.4420
941500,1.3100
942000,2.4560
943000,2.4350
943500,0.6200
944000,2.3070
944500,1.4670
945000,1.2980
945500,1.6740
946000,0.5780
946500,2.4800
947000,0.5960
947500,1.4620
948000,1.5170
948500,1.3670
949000,2.4270
949500,1.5090
950000,0.4770
950500,1.6400
951000,1.2180
951500,2.5020
952000,1.4920
952500,0.5460
953000,2.6720
953500,1.3830
954000,1.2590
954500,0.4980
955000,2.4610
955500,0.4440
956000,1.4970
956500,1.7550
957000,3.7390
957500,2.5800
958000,1.6110
958500,1.4990
959000,3.6930
959500,1.3440
960000,2.5610
960500,1.5690
961000,2.3360
961500,1.2230
962000,1.4790
962500,2.8360
963000,2.3750
963500,1.4440
964000,1.2310
964500,2.4010
965000,0.3820
965500,0.4230
966000,1.5100
966500,1.3870
967000,1.5070
968000,1.4680
968500,1.6140
969000,1.7470
969500,1.4260
970000,1.2420
970500,2.6210
971000,0.4770
971500,1.2330
972000,1.4420
972500,1.5720
973000,2.4660
973500,1.4270
974000,1.5410
974500,2.3990
975000,2.5650
975500,3.1240
976000,2.4820
976500,0.3630
977000,1.6760
977500,1.3830
978000,2.4980
978500,1.5730
979000,2.3020
979500,0.4580
980000,1.3720
980500,1.5270
981000,1.4240
981500,2.3170
982000,1.4980
982500,1.4940
983000,2.4950
983500,0.3640
984000,0.4040
984500,2.4050
985000,0.4300
985500,0.5660
986000,1.4220
986500,2.4260
987000,0.3290
987500,1.5920
988000,1.4300
988500,0.4710
989000,1.6380
989500,1.3820
990000,1.3010
990500,1.4640
991000,0.4730
991500,1.5250
992000,2.5510
992500,2.4770
993500,1.2730
994000,1.5900
994500,2.7070
995000,1.5000
995500,0.4690
996000,2.6420
996500,1.4960
997000,0.5550
997500,1.2710
998000,2.6410
998500,1.4430
999000,1.6040
999500,1.7410
1000000,0.6910
1000500,1.4740
1001000,1.2640
1001500,1.5130
1002000,1.3510
1002500,2.4200
1003000,1.4400
1003500,1.2960
1004000,1.8750
1004500,0.4550
1005000,2.4870
1005500,2.3950
1006000,1.4260
1006500,1.4520
1007000,2.4640
1007500,0.4280
1008000,1.2060
1008500,1.2280
1009000,2.4260
1009500,1.4030
1010000,1.6950
1010500,0.6230
1011000,1.2570
1011500,1.2490
1012000,0.5370
1012500,0.5430
1013000,1.3010
1013500,1.5320
1014000,1.3220
1014500,1.2630
1015000,2.4920
1015500,1.3910
1016000,1.4690
1016500,1.3840
1017000,1.4730
1017500,2.3930
1018000,0.3620
1018500,2.3880
1019500,0.2980
1020000,0.6270
1020500,1.5680
1021000,1.6700
1021500,1.4910
1022000,1.2110
1022500,1.4440
1023000,1.4270
1023500,1.5840
1024000,2.3740
1024500,1.4250
1025000,1.6200
1025500,1.3860
1026000,2.5590
1026500,1.4240
1027000,1.2810
1027500,1.3890
1028000,2.4450
1028500,1.4320
1029000,0.4140
1029500,3.0800
1030000,2.8210
1030500,1.5910
1031000,1.4750
1031500,1.5830
1032000,1.4690
1032500,1.4510
1033000,1.3230
1033500,1.4830
1034000,1.3160
1034500,0.5850
1035000,0.4410
1035500,1.6400
1036000,1.5590
1036500,1.4670
1037000,1.4860
1037500,1.3270
1038000,1.5350
1038500,1.3540
1039000,1.4090
1039500,1.5310
1040000,0.6220
1040500,1.5290
1041000,0.5900
1041500,1.5670
1042000,1.4450
1042500,2.6250
1043000,0.3920
1043500,1.5410
1044000,0.4320
1044500,1.5650
1045000,1.3860
1045500,3.8640
1046500,0.4520
1047000,1.5140
1047500,1.3120
1048000,1.2240
1048500,1.5400
1049000,1.5100
1049500,1.5590
1050000,0.4880
1050500,0.6210
1051000,0.4790
1051500,1.3250
1052000,1.3910
1052500,1.3990
1053000,2.5970
1053500,1.4700
1054000,0.5370
1054500,0.4570
1055000,1.5490
1055500,2.6090
1056000,0.4350
1056500,0.4060
1057000,1.4270
1057500,1.6050
1058000,0.4420
1058500,2.4440
1059000,0.5680
1059500,0.6000
1060000,1.3360
1060500,0.4830
1061000,1.2700
1061500,2.6720
1062000,0.4150
1062500,0.4020
1063000,1.3450
1063500,1.6200
1064000,1.4520
1064500,1.3720
1065000,2.5140
1065500,1.4710
1066000,0.4810
1066500,0.3520
1067000,1.3300
1067500,1.6040
1068000,1.2830
1068500,0.5500
1069000,0.4800
1069500,0.3460
1070000,0.8410
1070500,0.4900
1071000,1.3930
1071500,0.4060
1072000,2.6340
1072500,1.7360
1073000,0.5830
1073500,1.5360
1074000,3.6190
1074500,0.5750
1075500,1.3370
1076000,1.6010
1076500,1.4440
1077000,0.4390
1077500,2.3760
1078000,1.5120
1078500,0.6830
1079000,0.5410
1079500,1.3170
1080000,1.6050
1080500,1.4180
1081000,1.4710
1081500,0.6780
1082000,2.6630
1082500,1.4760
1083000,0.4540
1083500,1.3300
1084000,1.4450
1084500,1.4710
1085000,1.1820
1085500,2.5020
1086000,1.2910
1086500,1.4740
1087000,2.4140
1087500,1.2590
1088000,1.3820
1088500,2.5010
1089000,1.3330
1089500,0.4030
1090000,1.3860
1090500,2.5060
1091000,0.3600
1091500,1.3810
1092000,1.2200
1092500,0.4990
1093000,1.4830
1093500,0.5380
1094000,1.3660
1094500,2.6300
1095000,1.3600
1095500,0.4130
1096000,0.7600
1096500,1.4430
1097000,1.5420
1097500,1.4490
1098000,0.3470
1098500,2.4610
1099000,0.6490
1099500,2.7720
1100000,0.5010
1100500,1.5050
1101000,1.5790
1101500,1.3590
1102000,0.5500
1103000,1.5530
1103500,0.3500
1104000,1.3130
1104500,1.3460
1105000,0.4910
1105500,0.4420
1106000,1.4820
1106500,1.5510
1107000,1.2890
1107500,1.5320
1108000,1.7150
1108500,0.4950
1109000,0.4700
1109500,1.5210
1110000,1.2460
1110500,1.5020
1111000,0.3830
1111500,0.3470
1112000,1.4990
1112500,1.3930
1113000,0.4900
1113500,1.7650
1114000,1.5120
1114500,1.1760
1115000,1.5140
1115500,0.5770
1116000,1.5070
1116500,1.2950
1117000,1.1980
1117500,1.4420
1118000,1.5480
1118500,1.5020
1119000,1.5240
1119500,0.4660
1120000,1.3330
1120500,1.4660
1121000,1.4320
1121500,1.4070
1122000,1.4270
1122500,0.4810
1123000,1.3410
1123500,0.5950
1124000,0.4680
1124500,0.4530
1125000,1.4910
1125500,1.3700
1126000,1.4660
1126500,1.5180
1127000,0.3120
1127500,1.7050
1128000,1.2590
1128500,0.5130
1129000,0.5760
1129500,2.6270
1130000,0.4370
1130500,1.3300
1131000,1.4290
1131500,1.4400
1132000,1.3160
1132500,0.3390
1133000,1.4500
1133500,1.2430
1134500,1.2880
1135000,1.6810
1135500,1.3990
1136000,1.3430
1136500,1.4890
1137000,1.5540
1137500,0.4760
1138000,0.4620
1138500,1.4830
1139000,2.7080
1139000,0.3480
